individualCount,year,decimalLatitude,decimalLongitude,vernacularName
1000,2007,-37.555,144.68306,Eastern Grey Kangaroo
1000,2007,-37.55167,144.68,Eastern Grey Kangaroo
1000,2005,-38.25216,144.66818,Eastern Grey Kangaroo
565,2020,-38.27726,144.0529,Eastern Grey Kangaroo
438,1981,-37.9568,147.70961,Eastern Grey Kangaroo
386,2019,-38.57207,145.50452,Eastern Grey Kangaroo
341,2016,-37.59722,144.99278,Eastern Grey Kangaroo
330,2016,-37.6242,144.91722,Eastern Grey Kangaroo
330,2016,-37.6175,144.90722,Eastern Grey Kangaroo
304,2019,-38.62069,145.5619,Eastern Grey Kangaroo
232,2014,-37.565,144.8997,Eastern Grey Kangaroo
226,2017,-37.60889,144.90889,Eastern Grey Kangaroo
223,2018,-37.63944,144.865,Eastern Grey Kangaroo
222,2016,-37.59722,144.99278,Eastern Grey Kangaroo
222,2018,-37.63944,144.865,Eastern Grey Kangaroo
216,2020,-39.01515,146.31799,Eastern Grey Kangaroo
213,2016,-37.565,144.8997,Eastern Grey Kangaroo
203,2020,-37.60562,144.71308,Eastern Grey Kangaroo
202,2021,-37.64441,144.87236,Eastern Grey Kangaroo
200,2014,-37.5747,145.09139,Eastern Grey Kangaroo
200,2013,-37.56585,145.08827,Eastern Grey Kangaroo
200,2015,-37.56585,145.08827,Eastern Grey Kangaroo
200,2016,-37.56585,145.08827,Eastern Grey Kangaroo
200,2019,-37.56585,145.08827,Eastern Grey Kangaroo
200,2018,-37.61758,145.0795,Eastern Grey Kangaroo
200,2016,-37.6123,145.06329,Eastern Grey Kangaroo
200,2017,-37.6383,144.9678,Eastern Grey Kangaroo
200,2018,-37.6383,144.9678,Eastern Grey Kangaroo
200,1991,-37.64966,144.8277,Eastern Grey Kangaroo
200,1990,-37.91279,144.4253,Eastern Grey Kangaroo
190,2014,-37.565,144.8997,Eastern Grey Kangaroo
185,2016,-37.59722,144.99278,Eastern Grey Kangaroo
180,2016,-37.59722,144.99278,Eastern Grey Kangaroo
173,2020,-37.77582,144.69384,Eastern Grey Kangaroo
172,2020,-38.35252,145.58787,Eastern Grey Kangaroo
169,2014,-37.82242,144.51723,Eastern Grey Kangaroo
162,2019,-38.36038,145.60949,Eastern Grey Kangaroo
161,2020,-37.54583,144.98333,Eastern Grey Kangaroo
155,2020,-39.01515,146.31799,Eastern Grey Kangaroo
153,2021,-37.64441,144.87236,Eastern Grey Kangaroo
150,2010,-37.56544,145.08997,Eastern Grey Kangaroo
150,2012,-37.56585,145.08827,Eastern Grey Kangaroo
150,2018,-37.56585,145.08827,Eastern Grey Kangaroo
150,2020,-37.56585,145.08827,Eastern Grey Kangaroo
150,2011,-37.5663,145.08769,Eastern Grey Kangaroo
150,2014,-37.62156,145.07778,Eastern Grey Kangaroo
150,2020,-37.6383,144.9678,Eastern Grey Kangaroo
131,2020,-37.54137,144.98977,Eastern Grey Kangaroo
130,2013,-37.62156,145.07778,Eastern Grey Kangaroo
130,2017,-37.63944,144.865,Eastern Grey Kangaroo
128,2021,-37.64441,144.87236,Eastern Grey Kangaroo
122,2018,-37.6175,144.90722,Eastern Grey Kangaroo
122,2017,-37.63944,144.865,Eastern Grey Kangaroo
121,1995,-36.80684,143.29299,Eastern Grey Kangaroo
120,2005,-37.50568,144.99251,Eastern Grey Kangaroo
120,2016,-37.6383,144.9678,Eastern Grey Kangaroo
120,2018,-37.6175,144.90722,Eastern Grey Kangaroo
120,2014,-37.565,144.8997,Eastern Grey Kangaroo
