occurrenceID,catalogNumber,individualCount,year,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,vernacularName,species
5687626,5687626,1000,2007,-37.555,144.68306,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5687625,5687625,1000,2007,-37.55167,144.68,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5572100,5572100,1000,2005,-38.25216,144.66818,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10823595,10823595,565,2020,-38.27726,144.0529,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330876,4330876,438,1981,-37.9568,147.70961,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10291636,10291636,386,2019,-38.57207,145.50452,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8510759,8510759,341,2016,-37.59722,144.99278,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8509745,8509745,330,2016,-37.6242,144.91722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8509179,8509179,330,2016,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9083303,9083303,304,2019,-38.62069,145.5619,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6922555,6922555,232,2014,-37.565,144.8997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8929887,8929887,226,2017,-37.60889,144.90889,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037983,9037983,223,2018,-37.63944,144.865,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8510758,8510758,222,2016,-37.59722,144.99278,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9038019,9038019,222,2018,-37.63944,144.865,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11369034,11369034,216,2020,-39.01515,146.31799,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8509841,8509841,213,2016,-37.565,144.8997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11159125,11159125,203,2020,-37.60562,144.71308,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012217,12012217,202,2021,-37.64441,144.87236,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6618775,6618775,200,2014,-37.5747,145.09139,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6167456,6167456,200,2013,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6815737,6815737,200,2015,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6951716,6951716,200,2016,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9048437,9048437,200,2019,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8930501,8930501,200,2018,-37.61758,145.0795,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6954051,6954051,200,2016,-37.6123,145.06329,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8616800,8616800,200,2017,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9013561,9013561,200,2018,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4511112,4511112,200,1991,-37.64966,144.8277,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4507285,4507285,200,1990,-37.91279,144.4253,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6922554,6922554,190,2014,-37.565,144.8997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8510757,8510757,185,2016,-37.59722,144.99278,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8510760,8510760,180,2016,-37.59722,144.99278,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11159053,11159053,173,2020,-37.77582,144.69384,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10291661,10291661,172,2020,-38.35252,145.58787,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6875586,6875586,169,2014,-37.82242,144.51723,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10291673,10291673,162,2019,-38.36038,145.60949,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11159029,11159029,161,2020,-37.54583,144.98333,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11369024,11369024,155,2020,-39.01515,146.31799,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012220,12012220,153,2021,-37.64441,144.87236,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5704310,5704310,150,2010,-37.56544,145.08997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9004776,9004776,150,2012,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8926309,8926309,150,2018,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10206716,10206716,150,2020,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5714124,5714124,150,2011,-37.5663,145.08769,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6618491,6618491,150,2014,-37.62156,145.07778,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11044227,11044227,150,2020,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11159052,11159052,131,2020,-37.54137,144.98977,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6166987,6166987,130,2013,-37.62156,145.07778,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8929656,8929656,130,2017,-37.63944,144.865,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012219,12012219,128,2021,-37.64441,144.87236,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037518,9037518,122,2018,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8929655,8929655,122,2017,-37.63944,144.865,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3995387,3995387,121,1995,-36.80684,143.29299,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5575987,5575987,120,2005,-37.50568,144.99251,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8492153,8492153,120,2016,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037517,9037517,120,2018,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6922049,6922049,120,2014,-37.565,144.8997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037999,9037999,120,2018,-37.7613,144.6854,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3913243,3913243,120,1990,-37.09018,143.17633,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037510,9037510,119,2017,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6657999,6657999,116,2012,-37.7553,148.16876,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11877879,11877879,109,2021,-37.73633,144.68217,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9037514,9037514,104,2018,-37.6175,144.90722,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
