individualCount,year,stateProvince,decimalLatitude,decimalLongitude,scientificName,vernacularName
1,1984,Victoria,-37.22,142.25,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1999,Victoria,-37.21335,142.25296,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1989,Victoria,-37.21499,142.26764,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1997,Victoria,-37.21498,142.26876,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1983,Victoria,-37.22,142.27,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1984,Victoria,-37.22,142.27,Petrogale penicillata,Brush-tailed Rock-wallaby
3,1970,Victoria,-37.20685,142.29301,Petrogale penicillata,Brush-tailed Rock-wallaby
2,1991,Victoria,-37.11637,142.30201,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2021,Victoria,-37.62137,142.331743,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2011,Victoria,-37.13,142.35,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1984,Victoria,-36.9,142.38,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1991,Victoria,-37.15893,142.44125,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2013,Victoria,-37.2031,142.443,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2013,Victoria,-37.205,142.447,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2013,Victoria,-37.205,142.447,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2013,Victoria,-37.205,142.447,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2008,Victoria,-37.8957,144.438,Petrogale penicillata,Brush-tailed Rock-wallaby
1,2018,Victoria,-37.8957,144.438,Petrogale penicillata,Brush-tailed Rock-wallaby
5,2022,Victoria,-37.89402,144.44305,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1999,Victoria,-37.42,146.97,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1985,Victoria,-37.42347,146.97628,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1986,Victoria,-37.00679,148.14292,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1996,Victoria,-37.1413,148.14806,Petrogale penicillata,Brush-tailed Rock-wallaby
10,1986,Victoria,-37.09012,148.19292,Petrogale penicillata,Brush-tailed Rock-wallaby
1,,Victoria,-37.1,148.2,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1998,Victoria,-37.1,148.2,Petrogale penicillata,Brush-tailed Rock-wallaby
1,,Victoria,-37.1,148.2,Petrogale penicillata,Brush-tailed Rock-wallaby
1,,Victoria,-37.1,148.2,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1987,Victoria,-37.44889,148.21605,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1986,Victoria,-36.90679,148.22625,Petrogale penicillata,Brush-tailed Rock-wallaby
1,,Victoria,-37.22,148.27,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1994,Victoria,-37.13,148.27,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1961,Victoria,-37.08,148.27,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1986,Victoria,-36.95,148.27,Petrogale penicillata,Brush-tailed Rock-wallaby
1,1986,Victoria,-36.9433,148.274,Petrogale penicillata,Brush-tailed Rock-wallaby
