individualCount,year,decimalLatitude,decimalLongitude,vernacularName
300,1990,-35.54018,142.04299,Western Grey Kangaroo
250,1975,-35.54751,142.05551,Western Grey Kangaroo
201,1973,-37.25686,141.99302,Western Grey Kangaroo
200,1992,-34.857147,143.396885,Western Grey Kangaroo
131,1995,-32.88011,139.10998,Western Grey Kangaroo
127,1993,-34.6543,142.38125,Western Grey Kangaroo
100,2010,-35.9675,141.39944,Western Grey Kangaroo
100,2000,-37.62367,141.16968,Western Grey Kangaroo
100,1997,-36.45187,141.66591,Western Grey Kangaroo
100,1994,-36.45187,141.66591,Western Grey Kangaroo
100,1993,-34.54665,141.8193,Western Grey Kangaroo
100,1992,-35.58357,142.05599,Western Grey Kangaroo
100,1991,-34.79017,142.37631,Western Grey Kangaroo
100,1991,-34.65684,142.39297,Western Grey Kangaroo
100,1990,-35.58547,142.04497,Western Grey Kangaroo
100,1974,-35.54751,142.05551,Western Grey Kangaroo
100,1970,-34.73156,142.48192,Western Grey Kangaroo
100,1969,-34.64141,142.48031,Western Grey Kangaroo
100,1966,-34.73284,142.37272,Western Grey Kangaroo
98,2014,-34.633,135.4789,Western Grey Kangaroo
93,2023,-35.63744,138.30626,Western Grey Kangaroo
93,1995,-33.13012,139.07998,Western Grey Kangaroo
91,2011,-33.25,138.83094,Western Grey Kangaroo
89,2012,-33.25,138.96528,Western Grey Kangaroo
87,2017,-33.93788,140.96438,Western Grey Kangaroo
87,1982,-32.63011,135.65,Western Grey Kangaroo
84,2016,-33.24975,138.94565,Western Grey Kangaroo
83,2016,-33.0625,139.79222,Western Grey Kangaroo
83,2013,-33.24975,138.94565,Western Grey Kangaroo
79,1993,-32.88011,139.10998,Western Grey Kangaroo
79,1991,-32.88012,139.27999,Western Grey Kangaroo
78,2011,-34.63333,135.475,Western Grey Kangaroo
76,2017,-32.86076,138.8009,Western Grey Kangaroo
75,1999,-32.38012,134.94999,Western Grey Kangaroo
75,1994,-33.13012,139.13998,Western Grey Kangaroo
74,2016,-33.1875,139.05743,Western Grey Kangaroo
74,2015,-32.625,135.56939,Western Grey Kangaroo
72,2019,-34.64117,138.81392,Western Grey Kangaroo
72,2018,-33.25,138.94565,Western Grey Kangaroo
72,1998,-32.63011,135.57999,Western Grey Kangaroo
69,2016,-32.625,135.64017,Western Grey Kangaroo
69,2015,-33.4375,138.93356,Western Grey Kangaroo
69,1997,-33.63012,138.92999,Western Grey Kangaroo
68,1978,-33.63012,140.84999,Western Grey Kangaroo
67,2008,-33.88,135.61555,Western Grey Kangaroo
67,1998,-32.38012,135.05999,Western Grey Kangaroo
66,1996,-33.25012,138.92998,Western Grey Kangaroo
66,1977,-35.70526,140.60271,Western Grey Kangaroo
65,2017,-33.06108,139.10253,Western Grey Kangaroo
65,2015,-33.25,138.95447,Western Grey Kangaroo
65,2015,-33.5625,138.96473,Western Grey Kangaroo
64,2008,-34.78,135.6405,Western Grey Kangaroo
63,2008,-33.88,135.554,Western Grey Kangaroo
63,1981,-32.38012,135.41,Western Grey Kangaroo
